DATE,30 YR FIXED,15 YR FIXED,5/1 ARM
2020-08-20,2.99,2.54,2.91
2020-08-27,2.91,2.46,2.91
2020-09-03,2.93,2.42,2.93
2020-09-10,2.86,2.37,3.11
2020-09-17,2.87,2.35,2.96
2020-09-24,2.9,2.4,2.9
2020-10-01,2.88,2.36,2.9
2020-10-08,2.87,2.37,2.89
2020-10-15,2.81,2.35,2.9
2020-10-22,2.8,2.33,2.87
2020-10-29,2.81,2.32,2.88
2020-11-05,2.78,2.32,2.89
2020-11-12,2.84,2.34,3.11
2020-11-19,2.72,2.28,2.85
2020-11-25,2.72,2.28,3.16
2020-12-03,2.71,2.26,2.86
2020-12-10,2.71,2.26,2.79
2020-12-17,2.67,2.21,2.79
2020-12-24,2.66,2.19,2.79
2020-12-31,2.67,2.17,2.71
2021-01-07,2.65,2.16,2.75
2021-01-14,2.79,2.23,3.12
2021-01-21,2.77,2.21,2.8
2021-01-28,2.73,2.2,2.8
2021-02-04,2.73,2.21,2.78
2021-02-11,2.73,2.19,2.79
2021-02-18,2.81,2.21,2.77
2021-02-25,2.97,2.34,2.99
2021-03-04,3.02,2.34,2.73
2021-03-11,3.05,2.38,2.77
2021-03-18,3.09,2.4,2.79
2021-03-25,3.17,2.45,2.84
2021-04-01,3.18,2.45,2.84
2021-04-08,3.13,2.42,2.92
2021-04-15,3.04,2.35,2.8
2021-04-22,2.97,2.29,2.83
2021-04-29,2.98,2.31,2.64
2021-05-06,2.96,2.3,2.7
2021-05-13,2.94,2.26,2.59
2021-05-20,3,2.29,2.59
2021-05-27,2.95,2.27,2.59
2021-06-03,2.99,2.27,2.64
2021-06-10,2.96,2.23,2.55
2021-06-17,2.93,2.24,2.52
2021-06-24,3.02,2.34,2.53
2021-07-01,2.98,2.26,2.54
2021-07-08,2.9,2.2,2.52
2021-07-15,2.88,2.22,2.47
2021-07-22,2.78,2.12,2.49
2021-07-29,2.8,2.1,2.45
2021-08-05,2.77,2.1,2.4
2021-08-12,2.87,2.15,2.44
2021-08-19,2.86,2.16,2.43
2021-08-26,2.87,2.17,2.42
2021-09-02,2.87,2.18,2.43
2021-09-09,2.88,2.19,2.42
2021-09-16,2.86,2.12,2.51
2021-09-23,2.88,2.15,2.43
2021-09-30,3.01,2.28,2.48
2021-10-07,2.99,2.23,2.52
2021-10-14,3.05,2.3,2.55
2021-10-21,3.09,2.33,2.54
2021-10-28,3.14,2.37,2.56
2021-11-04,3.09,2.35,2.54
2021-11-10,2.98,2.27,2.53
2021-11-18,3.1,2.39,2.49
2021-11-24,3.1,2.42,2.47
2021-12-02,3.11,2.39,2.49
2021-12-09,3.1,2.38,2.45
2021-12-16,3.12,2.34,2.45
2021-12-23,3.05,2.3,2.37
2021-12-30,3.11,2.33,2.41
